VARIABLES="X","Y","U"
ZONE F=FEPOINT ET=TRIANGLE N=161 E=284
3.000000    3.000000    1.655539    
-3.000000    3.000000    0.000000    
-3.000000    -3.000000    0.000000    
3.000000    -3.000000    1.654094    
2.333333    3.000000    0.000000    
1.666667    3.000000    0.000000    
1.000000    3.000000    0.000000    
0.333333    3.000000    0.000000    
-0.333333    3.000000    0.000000    
-1.000000    3.000000    0.000000    
-1.666667    3.000000    0.000000    
-2.333333    3.000000    0.000000    
-3.000000    2.333333    0.000000    
-3.000000    1.666667    0.000000    
-3.000000    1.000000    0.000000    
-3.000000    0.333333    0.000000    
-3.000000    -0.333333    0.000000    
-3.000000    -1.000000    0.000000    
-3.000000    -1.666667    0.000000    
-3.000000    -2.333333    0.000000    
2.333333    -3.000000    0.000000    
1.666667    -3.000000    0.000000    
1.000000    -3.000000    0.000000    
0.333333    -3.000000    0.000000    
-0.333333    -3.000000    0.000000    
-1.000000    -3.000000    0.000000    
-1.666667    -3.000000    0.000000    
-2.333333    -3.000000    0.000000    
3.000000    2.333333    2.523331    
3.000000    1.666667    4.280733    
3.000000    1.000000    5.590493    
3.000000    0.333333    6.316778    
3.000000    -0.333333    6.363574    
3.000000    -1.000000    5.604108    
3.000000    -1.666667    4.240275    
3.000000    -2.333333    2.533093    
-1.996795    1.996795    6.301049    
-1.786509    1.395641    10.285966    
-1.381602    1.747001    10.633394    
2.687000    2.687000    2.007417    
2.414665    2.414665    3.517529    
2.687000    -2.687000    2.007254    
2.414665    -2.414665    3.511174    
-2.687000    2.687000    0.922392    
-2.414665    2.414665    2.739169    
-2.687000    -2.687000    0.919601    
-2.414665    -2.414665    2.728402    
2.439027    -1.396248    7.333730    
2.558251    -1.924005    4.982509    
-2.591268    1.865444    3.313253    
-2.709003    1.333932    3.267902    
0.821309    -2.027533    10.669636    
1.358555    -2.289309    6.980399    
1.347485    -1.741104    11.039502    
1.996795    -1.996795    6.815412    
-0.788934    2.048816    10.469453    
-1.394140    2.433171    5.745726    
-1.491504    -2.317436    6.319071    
-1.924005    -2.558251    3.392827    
2.085412    0.847887    11.231961    
2.339115    0.228740    10.533725    
2.583168    0.867246    7.996460    
2.714035    0.000000    8.089491    
2.464298    -0.369310    9.535276    
0.191070    -2.295472    9.029716    
0.411710    -1.805212    13.624030    
1.813941    0.419244    14.397551    
-2.085412    -0.847887    9.961267    
-2.442360    -1.389242    5.691697    
-1.811324    -1.347319    10.330295    
-1.996795    -1.996795    6.288120    
-0.041330    -2.676601    4.504126    
-0.415534    -2.412628    7.515300    
0.846082    -2.562099    5.518728    
0.228740    2.339115    8.521063    
-0.362727    2.469069    6.939891    
-0.281857    2.031116    11.531288    
1.345644    2.702400    3.367431    
1.855583    2.566671    3.705680    
2.289558    1.388149    8.154604    
1.736746    1.348401    11.418311    
1.996795    1.996795    6.797167    
1.376393    2.286163    6.959755    
0.855333    2.568848    5.446344    
0.847887    2.085412    10.075046    
-0.787617    2.597531    5.128174    
-2.587741    -0.785370    5.223312    
-2.410932    -0.356389    7.594258    
-2.288023    0.206717    9.078514    
-1.913731    -0.332610    12.682402    
-1.491079    -0.767388    15.456482    
-0.966913    -0.955370    18.594435    
-0.924722    -0.469911    21.826213    
-1.454343    -1.792452    10.010758    
-0.030042    -0.798192    23.813279    
-0.070874    -1.224309    19.835755    
0.375039    -1.018424    21.287182    
1.787992    -1.396357    10.887317    
-2.291776    1.354897    6.841509    
-2.562369    0.846128    5.481869    
-2.085412    0.847887    10.000318    
-0.144650    0.585519    25.637373    
0.017951    1.199874    20.150195    
-0.480120    1.086735    20.247473    
1.473252    0.774028    16.067619    
0.953551    0.944175    18.973355    
0.912896    0.465330    22.136001    
1.384444    1.773673    10.677157    
-0.590643    0.111098    25.671896    
-1.166446    0.087339    20.401748    
-1.368369    0.599574    17.247914    
-1.688483    0.133677    15.098578    
-0.880851    1.454021    15.239608    
-0.926033    0.880849    19.355284    
0.598148    1.355920    17.485755    
0.112610    1.731900    14.715305    
0.609961    -0.014911    25.593586    
1.163893    -0.045010    20.819106    
1.466650    -0.631237    16.798507    
1.710317    -0.000000    15.739420    
0.772952    -1.472005    15.718097    
0.873109    -0.905285    19.821146    
-0.631237    -1.466650    16.273315    
0.000000    -1.710317    14.969226    
2.567236    1.857542    5.187579    
1.852610    -2.567195    3.704354    
-1.924005    2.558251    3.392146    
-2.558251    -1.924005    3.387301    
-0.968334    -2.626306    4.647106    
0.450331    0.821385    22.796826    
-1.669107    0.926944    13.204127    
-1.329698    1.178059    14.576748    
0.303307    -0.466573    25.957546    
1.676346    -1.024268    13.393209    
1.320728    -1.206746    14.833025    
0.855159    -0.394841    22.747087    
0.925381    1.664115    13.401346    
1.191017    1.309872    14.924401    
-0.945234    0.433707    21.611431    
-1.024268    -1.676346    12.763502    
-1.222157    -1.311644    14.466458    
1.345644    -2.702400    3.367213    
2.702400    1.345644    6.213279    
-0.433747    1.609805    15.446295    
2.597747    -0.789356    8.054036    
-0.609578    0.583016    23.413690    
-1.481222    -0.284110    16.982487    
-0.286010    -0.425521    26.187826    
1.428376    0.305601    18.008166    
0.364093    0.377490    26.030380    
0.305601    -1.428376    17.508883    
0.546426    1.855568    12.848251    
2.085412    -0.847887    11.187425    
-1.855243    0.541617    12.801970    
-0.902965    -2.027769    10.328307    
2.002485    -0.321355    13.013479    
0.000000    2.714035    4.045996    
-0.351733    -1.982567    11.933549    
-2.714035    0.000000    4.010065    
-0.471669    -0.856131    22.265551    
0.000000    -0.000000    28.016802    
37    38    39
40    5    41
42    36    43
